city_name,property_type,sub_property_type,locality,sale_price_range,sale_average_price,sale_q_o_q,view_trends_link
New Delhi,Residential,Multistorey Apartment,Alaknanda,"15,269-23,024","19,147",9,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Alaknanda Road,"15,330-23,506","19,418",4,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Alaknanda-Road-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Bakkarwala,"4,021-6,507","5,264",9,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Bakkarwala-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Burari,"3,718-6,135","4,926",10,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Burari-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Burari Road,"3,637-6,091","4,864",8,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Burari-Road-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Chattarpur,"3,866-6,772","5,319",6,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Chattarpur-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dashrathpuri Metro Road,"4,617-7,864","6,240",-,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dashrathpuri-Metro-Road-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dilshad Garden,"6,034-9,730","7,882",1,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dilshad-Garden-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dwarka,"12,863-17,865","15,364",8,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dwarka Mor,"4,573-7,523","6,048",4,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Mor-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dwarka Sector 3,"12,415-16,613","14,514",7,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Sector-3-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Dwarka Sector 9,"13,626-18,029","15,827",6,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Dwarka-Sector-9-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Geeta Colony Road,"5,656-9,585","7,621",1,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Geeta-Colony-Road-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Greater Kailash,"19,036-31,542","25,289",2,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Greater-Kailash-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,GT Karnal Road,"5,364-8,745","7,054",3,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-GT-Karnal-Road-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,IP Extension,"11,620-18,039","14,829",7,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-IP-Extension-in-New-Delhi
New Delhi,Residential,Multistorey Apartment,Janakpuri,"10,504-18,023","14,263",1,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Janakpuri-in-New-Delhi
